"","ServiceStationName","Address"
"1959","Caltex Woolworths Armidale","244A Beardy Street, Armidale NSW 2350"
"1963","Independent Byron Bay","1B Butler St, Byron Bay NSW 2481"
"1964","7-Eleven North Ryde","400 Lane Cove Road, North Ryde NSW 2113"
"1966","Caltex Woolworths Blakehurst","390 Princes Highway, Blakehurst NSW 2221"
"1968","Caltex Woolworths Leeton","Cnr Warnoon & Palm Avenue, Leeton NSW 2705"
"1969","Caltex Woolworths Moree","215 Balo Street, Moree NSW 2400"
"1974","BP Eastern Creek T/S","101 Wallgrove Rd, EASTERN CREEK NSW 2766"
"1977","BP Potts Hill T/S","155-157 Rockwood Road, Yagoona NSW 2199"
"1980","Coles Express Northmead","197 Windsor Road, Northmead NSW 2152"
"1982","7-Eleven Baulkham Hills","217-219 Seven Hills Rd, BAULKHAM HILLS NSW 2153"
"1986","Caltex Woolworths Moorebank","Cnr Dredge & Stockton Avenue, Moorebank NSW 2170"
"1989","Metro Punchbowl","10-12 Park Ave, Punchbowl NSW 2196"
"1995","Caltex Star Mart Dural","917-923 Old Northern Rd, DURAL NSW 2158"
"1999","Caltex Lilli Pilli","481 Port Hacking Road, LILLI PILLI NSW 2229"
"2003","Caltex Coogee","146-148 Coogee Bay Rd, Coogee NSW 2034"
"2009","Coles Express Five Dock","213-253 Parramatta Rd & Walker St, Five Dock NSW 2046"
"2020","7-Eleven Merrylands","295-297 Merrylands Road (Corner Windsor Street), Merrylands NSW 2160"
"2021","7-Eleven Carlton","439 Princes Highway (Corner Massey Street), Carlton NSW 2218"
"2022","Coles Express Umina","1-3 Sydney Ave (Cnr Ocean Beach Rd), Umina NSW 2257"
"2030","Independent Liberty South Grafton","174 Ryan St, South Grafton NSW 2460"
"2031","BP Riverwood","189-191 Belmore Rd, RIVERWOOD NSW 2210"
"2032","Independent South Murwillumbah","303 Tweed Valley Way, South Murwillumbah NSW 2484"
"2041","Caltex Beacon Hill","176 Warringah Rd, BEACON HILL NSW 2100"
"2043","Caltex Banora Point","Darlington Drive Corner Leisure Drive, BANORA POINT WEST NSW 2486"
"2044","Caltex Dubbo Dulhunty","60 Windsor Parade, DUBBO NSW 2830"
"2045","Caltex Batemans Bay","2 Princes Hwy Cnr Kings Hwy, BATEMANS BAY NSW 2536"
"2047","BP Manilla","302 Tamworth Road, MANILLA NSW 2346"
"2049","Caltex Woolworths Kingswood","66 Parker Street (Cnr Copeland St), Penrith NSW 2747"
"2052","Caltex Foodary Unanderra","86-98 Princes Hwy, UNANDERRA NSW 2526"
"2053","Caltex Gunnedah","21 Abbott St, Gunnedah NSW 2380"
"2054","Caltex North Ryde","41-43 Epping Rd Cnr Wicks Rd, North Ryde NSW 2113"
"2056","Caltex Woolworths Blacktown","41 - 43 Third Avenue, Blacktown NSW 2148"
"2061","BP Roseville","20-22 Babbage Rd, Roseville NSW 2069"
"2065","BP Balgowlah","485 Sydney Road, Balgowlah NSW 2093"
"2072","Coles Express Tumut","168-170 Snowy Mountains Hwy, Tumut NSW 2720"
"2073","7-Eleven Cranebrook","212-222 Andrews & Castlereagh Roads, Cranebrook NSW 2749"
"2076","7-Eleven Penrith","588 High Street, Penrith NSW 2751"
"2079","NightOwl Shell Berkeley Vale","1a Tumbi Creek Road, BERKELEY VALE NSW 2261"
"2083","Coles Express Edmondson Park","2126 Camden Valley Way, EDMONSON PARK NSW 2174"
"2089","BP Macarthur","Cnr Campbelltown & Blaxland Roads, Campbelltown NSW 2560"
"2092","BP Forestville","632 Warringah Road, Forestville NSW 2087"
"2096","BP Thornleigh","Pennant Hills Rd & Parkes St, THORNLEIGH NSW 2120"
"2101","BP Marsden Park","851 Richmond Road, Marsden Park NSW 2765"
"2104","Budget Petrol Sanctuary Point","147 Larmer Ave, SANCTUARY POINT NSW 2540"
"2105","Speedway Auburn","238 Cumberland Rd, Auburn NSW 2144"
"2109","Speedway South Granville","171 Clyde St, SOUTH GRANVILLE NSW 2142"
"2113","BP Milperra","5 Bullecourt Avenue, Milperra NSW 2214"
"2117","BP Minchinbury","1055 Great Western Highway, Minchinbury NSW 2770"
"2120","BP Seven Hills","Abbott Road, Seven Hills NSW 2147"
"2121","BP Runway","Cnr Butler Rd & General Holmes Dve, Mascot NSW 2020"
"2124","Caltex Woolworths Lake Cathie","1609 Ocean Drive, Lake Cathie NSW 2445"
"2126","BP Tumbi Umbi","Cnr Wyong Rd & Mingara Dve, Tumbi Umbi NSW 2261"
"2129","BP Wyoming","481 Pacific Highway, Wyoming NSW 2250"
"2132","Coles Express Forestville","665-671 Warringah Rd (Cnr Cook St), Forestville NSW 2087"
"2135","7-Eleven Blacktown","175 Richmond Road, Blacktown NSW 2148"
"2139","7-Eleven Blacktown","62 Walters Road, Blacktown NSW 2148"
"2142","7-Eleven Arndell Park","180 Reservoir Road, Arndell Park NSW 2148"
"2145","7-Eleven Blacktown East","56 Leabons Lane (Corner Blacktown Road), Blacktown East NSW 2148"
"2148","North Ryde Petroleum","118 Coxs Road, NORTH RYDE NSW 2113"
"2152","Caltex Woolworths Turramurra","1233 Pacific Highway, Turramurra NSW 2074"
"2156","Caltex Starmart Manly","86 Pittwater Rd, MANLY NSW 2095"
"2158","AVOCA FUEL","210 Avoca Drive, AVOCA BEACH NSW 2251"
"2160","Bridgestone Service Centre Laurieton","2 Kew Road, Laurieton NSW 2443"
"2168","Caltex Woolworths Greenacre","51 Roberts Road (Cnr Amarina St), Greenacre NSW 2190"
"2170","Speedway Horsley Drive","769 The Horsley Dr, SMITHFIELD NSW 2164"
"2174","Speedway Fairfield","251 The Horsley Drive, Fairfield NSW 2165"
"2178","Speedway Smithfield","26-28 Smithfield Road, SMITHFIELD NSW 2164"
"2181","7-Eleven Turramurra","1408 Pacific Highway (Corner Duff Street), Turramurra NSW 2074"
"2190","7-Eleven St Ives","157-159 Mona Vale Rd, ST IVES NSW 2075"
"2194","7-Eleven Wahroonga","1579 Pacific Highway (Corner Redleaf Avenue), Wahroonga NSW 2076"
"2214","Metro East Corrimal","61-63 Murray Road, EAST CORRIMAL NSW 2518"
"2226","Caltex Wyoming","465 Pacific Hwy, WYOMING NSW 2250"
"2236","Speedway Villawood","45 Fairfield St, Villawood NSW 2163"
"2241","Payless Fuel Sydenham","31-35 Unwins Bridge, Sydenham NSW 2044"
"2249","METRO CROYDON PARK","274 Georges River Road, CROYDON PARK NSW 2133"
"2252","Metro Milperra","144 Beaconsfield Street, MILPERRA NSW 2214"
"2258","BP Mascot","1077 Botany Road, Mascot NSW 2020"
"2269","Speedway Blacktown","90 Blacktown Road, Blacktown NSW 2148"
"2278","Mobil Griffith","81-83 Banna Ave, GRIFFITH NSW 2680"
"2279","Metro Fuel Kogarah","120 Rocky Points Rd, Kogarah NSW 2217"
"2324","BP Dundas","256 Kissing Point Rd, DUNDAS NSW 2117"
"2336","Westside Petroleum Unanderra","40 Princes Highway, UNANDERRA NSW 2526"
"2341","7-Eleven Unanderra","41-43 Princes Hwy, UNANDERRA NSW 2526"
"2352","Budget Petroleum Smithfield","729 The Horsley Dr, SMITHFIELD NSW 2164"
"2415","BP Lugarno","1046 Forest Road, Lugarno NSW 2210"
"2437","Metro Hanwood","48-50 Hanwood Road, Hanwood NSW 2680"
"2442","Werrington South","577 Great Western Hwy, WERRINGTON NSW 2747"
"2446","7-Eleven Maroubra","1 Meagher Ave (Cnr Malabar Rd) (Repn 9 June'16), Maroubra NSW 2035"
"2452","7-Eleven Mosman","162A Spit Road (Corner Mitchell Road), Mosman NSW 2088"
"2455","7-Eleven Carlingford","243 Pennant Hills Road, Carlingford NSW 2118"
"2459","7-Eleven Matraville","515 Bunnerong Rd, MATRAVILLE NSW 2036"
"2465","Metro Saratoga","13-15 Village Road, SARATOGA NSW 2251"
"2479","Caltex Woolworths Werrington","574 Great Western Hwy, Werrington NSW 2747"
"2487","Coles Express Bulahdelah","42 Bulahdelah Way, Bulahdelah NSW 2423"
"2492","Metro Petroleum Bankstown South","160 SOUTH TCE, BANKSTOWN NSW 2200"
"2501","7-Eleven St Marys","Corner Forrester Road & Christie Street, St Marys NSW 2760"
"2508","Mobil Five Ways Servo Tumut","3 Blowering Rd, TUMUT NSW 2720"
"2509","Coles Express Wahroonga","1601 Pacific Hwy & Coonanbarra Rd, Wahroonga NSW 2076"
"2514","Coles Express Chatswood","877-879 Pacific Hwy, Chatswood NSW 2067"
"2517","Coles Express Dundas","199-203 Kissing Point Rd (Cnr Kirby St), Dundas NSW 2117"
"2527","Coles Express Coffs Harbour","208-212 Pacific Hwy North, Coffs Harbour NSW 2450"
"2530","7-Eleven Kings Park","363 Vardys Road, Kings Park NSW 2148"
"2531","7-Eleven Quakers Hill","83 Lalor Road & Quakers Hill Parkway, Quakers Hill NSW 2763"
"2536","Caltex Woolworths Ulladulla","155-157 Princes Highway, Ulladulla NSW 2539"
"2545","Independent Gladstone","54 Barnard Street, Gladstone NSW 2440"
"2547","Caltex Woolworths Muswellbrook","Cnr Brook & Sowerby Streets, Muswellbrook NSW 2333"
"2556","BP Pymble","Cnr Pacific Hwy & Bannockburn Rd, Pymble NSW 2073"
"2559","Norris Park IGA - Liberty","545 Union Rd, NORTH ALBURY NSW 2640"
"2567","Shell Ulladulla","153 Princess Highway, ULLADULLA NSW 2539"
"2570","BP Ashfield","580-586 Parramatta Road, Croydon NSW 2132"
"2573","Coles Express Forster","2 The Lakes Way, Forster NSW 2428"
"2586","Coles Express St Ives","179-181 Mona Vale Rd, St Ives NSW 2075"
"2588","BP Albion Park","83 Princes Highway, Albion Park Rail NSW 2527"
"2590","GASL Ulmarra","29 Pacific Hwy, ULMARRA NSW 2462"
"2594","BP Grenfell Road","11 Grenfell Road, Cowra NSW 2794"
"2600","7-Eleven Menai","Corner Allison Crescent & Menai Road, Menai NSW 2234"
"2603","BP Forbes","Cnr Johnson & Dowling Streets, Forbes NSW 2871"
"2607","BP Riverside Maclean","111-117 River Street, MacLean NSW 2463"
"2608","BP Werrington","569 Great Western Highway, Werrington NSW 2747"
"2613","Mobil East Nowra","112 Kalander Street, East Nowra NSW 2541"
"2618","BP Maclean","3286 Pacific Highway, MacLean NSW 2463"
"2623","Coles Express Muswellbrook","148 Bridge Street (Cnr Hill St), Muswellbrook NSW 2333"
"2628","Independent South Dubbo","125 Cobra Street, DUBBO NSW 2830"
"2629","Caltex Greta","2021 New England Hwy, Greta NSW 2334"
"2638","BP Greta","122 High St, GRETA NSW 2334"
"2641","Westside Petroleum Toukley","356-358 Main Rd, TOUKLEY NSW 2263"
"2646","Caltex Woolworths Rosebery","321 Gardeners Rd, ROSEBERY NSW 2018"
"2651","Enhance Lithgow","151 Mort St, LITHGOW NSW 2790"
"2653","Caltex Mudgee","114-118 Church St, MUDGEE NSW 2850"
"2655","EJ Stop N Save","9 Davies Rd, Padstow NSW 2211"
"2657","Caltex Ulladulla","62 Deering Street, ULLADULLA NSW 2539"
"2659","Metro Petroleum Padstow","69 Davies Rd, PADSTOW NSW 2211"
"2666","BP Mays Hill","149 Great Western Hwy, Mays Hill NSW 2145"
"2674","Independent West Ryde","2-4 Chatham Road, West Ryde NSW 2114"
"2675","Budget Granville","27 Woodville Rd, Granville NSW 2142"
"2676","BP Revesby","196 The River Road, Revesby NSW 2212"
"2677","Xpress fuels","134 Brighton Ave, CAMPSIE NSW 2194"
"2680","Independent Coomba Park","11 Kirribilli Avenue, Coomba Park NSW 2428"
"2687","CALTEX IGA EXPRESS","1413-1415 Elizabeth Dr, KEMPS CREEK NSW 2178"
"2690","Westside Petroleum Mount Austin","2 Ceduna Street, MOUNT AUSTIN NSW 2650"
"2715","7-Eleven Guildford","272-278 Woodville Road, Guildford NSW 2161"
"2719","7-Eleven Moorebank","98-102 Heathcote Rd, MOOREBANK NSW 2170"
"2730","Caltex Narooma","60 Princes Hwy, NAROOMA NSW 2546"
"2766","Caltex Star Mart Rydalmere","309 Victoria Rd, RYDALMERE NSW 2116"
"2770","Caltex Moorebank","2 Bridges Road, MOOREBANK NSW 2170"
"2786","Independent Albury","997 Mate Street, Albury NSW 2640"
"2789","Shell Narooma","16 Princes Highway, NAROOMA NSW 2546"
"2798","Caltex Young Roadhouse","Young Roadhouse 4623 Olympic Hwy, YOUNG NSW 2594"
"2799","Ultra Mogo","33-35 Princes Highway, MOGO NSW 2536"
"2800","BP Narooma","90 Campbell St, Narooma NSW 2546"
"2811","Independent Murwillumbah","51 Tweed Valley Way, Murwillumbah NSW 2484"
"2841","Broulee Supermarket & Cellars","23-25 Grant St, BROULEE NSW 2537"
"2847","Metro Highfields","317A Pacific Hwy, Highfields NSW 2289"
"2854","Independent Howlong","150 Hawkins Street, Howlong NSW 2643"
"2859","Metro Fuel Tahmoor","Remembrance Driveway, Tahmoor NSW 2790"
"2861","Caltex Finley","295-301 Murray St, FINLEY NSW 2713"
"2890","Metro Figtree","99 Bellevue Road, FIGTREE NSW 2525"
"2901","Independent Inverell","24 Glen Innes Road, Inverell NSW 2360"
"2945","BP Jerrys Plains","23 Pagan Street, JERRYS PLAINS NSW 2330"
"2947","Speedway Caringbah","66 Captain Cook Drive, Caringbah NSW 2229"
"2952","Shell Coila","Coila Auto and Caravan Pk 3926 Princes Hwy, COILA NSW 2537"
"2960","Independent Lalor Park","Lot 8 Comercial Road, Lalor Park NSW 2147"
"2968","Georges Hall Petroleum","250 Henry Lawson Drive, GEORGES HALL NSW 2198"
"2972","BP Enfield","184 Liverpool Road, Enfield NSW 2136"
"2978","Toowoon Bay Service Station","142 Bay Rd, TOOWOON BAY NSW 2261"
"2982","Mobil Uralla","133 Bridge St, URALLA NSW 2358"
"2985","7-Eleven Charlestown","271-273 Charlestown Rd, CHARLESTOWN NSW 2290"
"2986","Shell Parkes","Cnr Currajong & Webb St, Parkes NSW 2870"
"2990","Budget Petrol","365 Liverpool Rd, South Strathfield NSW 2135"
"2994","7-Eleven Warners Bay","393 Hillsborough Road (Corner Macquarie Road), Warners Bay NSW 2282"
"2998","Caltex Woolworths Marayong","Cnr Vardys & Turbo Roads, Marayong NSW 2148"
"3002","Shell Medowie","26 Ferodale Road, Medowie NSW 2318"
"3005","7-Eleven Dapto","125-127 Princes Hwy, DAPTO NSW 2530"
"3009","Caltex Northmead","98-100 Windsor Rd Cnr Lombard Rd, Northmead NSW 2152"
"3013","Caltex St Ives Foodary","164 Mona Vale Road, ST IVES NSW 2075"
"3017","Caltex Wentworthville","313 Great Western Hwy, SOUTH WENTWORTHVILLE NSW 2145"
"3021","Metro Fuel Cremorne","51 Spofforth St, CREMORNE NSW 2090"
"3030","Metro Wakely","72 Thorney Rd, FAIRFIELD WEST NSW 2165"
"3033","Metro Lansdowne","987 Hume Highway, Lansdowne NSW 2163"
"3034","BP Yagoona","405 Hume Highway, Yagoona NSW 2199"
"3038","Caltex Menai","Menai Rd Cnr Carter Rd, Menai NSW 2234"
"3041","Independent Wangi Wangi","297 Watkins Rd, Wangi Wangi NSW 2267"
"3067","Caltex Beresfield North","Weakleys Dr Cnr Balook Dr, Beresfield North NSW 2322"
"3081","7-Eleven Parramatta","81 Victoria Road & Macarthur Street, Parramatta NSW 2150"
"3084","Speedway Miranda","181 The Boulevarde, Miranda NSW 2228"
"3097","Westside Petroleum Ingleburn","Shop 8 24 Lagonda Drive, INGLEBURN NSW 2565"
"3098","BP Manly","133-139 Pittwater Rd, MANLY NSW 2095"
"3107","Caltex Woolworths Dapto","83 Byamee Street, Dapto NSW 2530"
"3116","7-Eleven Northmead","137 Windsor Road, Northmead NSW 2152"
"3120","BP Lane Cove","62-70 Epping Rd, Lane Cove NSW 2066"
"3122","7-Eleven Northmead","56 Windsor Road & Northmead Avenue, Northmead NSW 2152"
"3128","Caltex Kogarah","29 President Ave, KOGARAH NSW 2217"
"3136","Caltex Brownsville","342 Kanahooka Road, BROWNSVILLE NSW 2530"
"3139","Caltex Warners Bay","55 King St, WARNERS BAY NSW 2282"
"3143","BP Kingsgrove","152 Moorefields Road, Kingsgrove NSW 2208"
"3148","Caltex Salt ash","2893 Nelson Bay Rd, SALT ASH NSW 2318"
"3156","Caltex Alexandria","133 Wyndham Street, ALEXANDRIA NSW 2015"
"3170","BP Griffith","477 Banna Avenue, Griffith NSW 2680"
"3174","Lowes Griffith","30-34 Banna Ave, GRIFFITH NSW 2680"
"3178","Coles Express Maroubra","959-961 Anzac Pde, Maroubra NSW 2035"
"3179","BP Kurmond","501-509 Bells Line Of Road, Kurmond NSW 2757"
"3181","Metro Fuel Miranda","220 Port Hacking Road, Miranda NSW 2228"
"3195","Independent Lennox Head","44-48 Byron St, Lennox Head NSW 2478"
"3200","The Foodary Croydon","404-410 Liverpool Rd, CROYDON NSW 2132"
"3202","Tom Thumb Service Station","17 Ellen Street, Wollongong NSW 2500"
"3206","Caltex Woolworths Orange North","1 Hanrahan Place (Cnr Leeds Pde), Orange NSW 2800"
"3215","Caltex Woolworths Corowa","Cnr Queen & Parliament Streets, Corowa NSW 2646"
"3217","Puma Uralla","111 Bridge Street, Uralla NSW 2358"
"3224","Coles Express Parramatta","88 Victoria Rd (Cnr Buller St), Parramatta NSW 2150"
"3226","BP Bondi","185 Bondi Rd, Bondi NSW 2026"
"3227","Coles Express Dapto","152-158 Princes Hwy, Dapto NSW 2530"
"3229","Coles Express Charlestown","128 Pacific Hwy, Charlestown NSW 2290"
"3236","South West Fuel - Young","31 Boorowa St, Young NSW 2594"
"3248","Coles Express Guildford","295 Woodville Rd, Guildford NSW 2161"
"3251","Shell Mudgee","56 A Sydney Road, Mudgee NSW 2850"
"3261","Powerfuel","101 Blaxcell St, GRANVILLE NSW 2142"
"3262","7-Eleven Gateshead","13-15 Pacific Highway, GATESHEAD NSW 2290"
"3272","Independent Braidwood","76 Lascelles St, Braidwood NSW 2622"
"3273","BP Bonnyrigg","451 Nth Liverpool Rd, Bonnyrigg NSW 2177"
"3279","Gooloogong Handymart","9 King St, GOOLOOGONG NSW 2805"
"3281","BP Woolgoolga","35 River Street, Woolgoolga NSW 2456"
"3283","Independent Nambucca Heads","50-54 Riverside Drive, Nambucca Heads NSW 2448"
"3291","Metro Petroleum Lavington","Shop 2 407 Wagga Road, LAVINGTON NSW 2641"
"3294","Caltex Murwillumbah","1-7 Buchanan St, SOUTH MURWILLUMBAH NSW 2484"
"3295","Caltex Woolworths Kogarah","69 Princes Hwy (cnr Gladstone St), Kogarah NSW 2217"
"3303","Caltex Woolworths Macarthur Square","Macarthur Gardens Village U 57 100 Gilchrist Drive, CAMPBELLTOWN NSW 2560"
"3308","Liberty Alstonville","3 Bugden Avenue, Alstonville NSW 2477"
"3311","Caltex Ryde Self Serve","110 Lane Cove Road, RYDE NSW 2112"
"3312","Caltex Star Mart Cherrybrook","67 Shepherds Dr, CHERRYBROOK NSW 2126"
"3316","Caltex Moama","73 Meninya St, MOAMA NSW 2731"
"3319","Caltex Rutherford Diesel Stop","83 Mustang Dr, RUTHERFORD NSW 2320"
"3323","Caltex Forbes","Parkes Road, Forbes NSW 2871"
"3325","Independent Teralba","63 York St, Teralba NSW 2284"
"3328","Lowes Newcastle","Cnr Pennant St and Belford Place, NEWCASTLE NSW 2285"
"3330","Lowes Cessnock","36 Wine Country Drive, Cessnock NSW 2325"
"3337","Coles Express Merewether","87 Llewellyn St (Cnr Glebe Rd), Merewether NSW 2291"
"3338","Coles Express Cessnock","183 Vincent St, Cessnock NSW 2325"
"3339","Coles Express Cremorne","227 Military Rd, Cremorne NSW 2090"
"3340","Coles Express West Ryde","1032-1036 Victoria Rd, West Ryde NSW 2114"
"3345","Speedway Grose Vale","Shop 3 659 Grose Vale Rd, GROSE VALE NSW 2753"
"3349","Roger Moore Pty Ltd","55 Hope St, WARIALDA NSW 2402"
"3350","Roger Moore PTY LTD","76 Hope Street, Warialda NSW 2402"
"3353","Shell Crabbes Creek","24-28 Crabbes Creek, Crabbes Creek NSW 2483"
"3363","Coles Express Tweed Heads","34 Wharf St (Cnr Frances St), Tweed Heads NSW 2485"
"3364","Metro Castle Cove","327 Eastern Valley Way, Castle Cove NSW 2069"
"3368","BP Muswellbrook","139-141 Maitland St, MUSWELLBROOK NSW 2333"
"3371","Caltex Cooma","44 Sharp St Cnr Barron St, Cooma NSW 2630"
"3392","Caltex Dubbo Talmac","119 Bourke Street, DUBBO NSW 2830"
"3394","Caltex Woolworths Coonabarabran","85-87 John St, COONABARABRAN NSW 2357"
"3396","Caltex Jindabyne","6 Kosciuszko rd, Jindabyne NSW 2627"
"3399","Westside Petroleum Narrabri","35 Cooma Road, NARRABRI NSW 2390"
"3400","Barooga General Store","37 Vermont Street, BAROOGA NSW 3644"
"3408","Caltex Trangie","76 Narromine St, TRANGIE NSW 2823"
"3411","Caltex Alstonville","73 Main St, Alstonville NSW 2477"
"3414","Caltex West Wyalong","Mid West Highway, West Wyalong NSW 2671"
"3417","Caltex Moree","54 Alice St, MOREE NSW 2400"
"3421","Caltex Armidale","New England Highway, ARMIDALE NSW 2350"
"3427","Metro Fuel Fairfield","62 Railway Parade, Fairfield NSW 2165"
"3434","Enhance Merrylands","506 Merrylands Road, Merrylands NSW 2160"
"3435","Shell Somerton","1 Oxley Highway, Somerton NSW 2340"
"3442","Mobil Coonamble","66 Aberford St, COONAMBLE NSW 2829"
"3445","BP Liverpool","69 Hoxton Park Road, Liverpool NSW 2170"
"3446","Coles Express Campbelltown","27 Queen Street, Campbelltown NSW 2560"
"3447","Coles Express Northmead","100 Briens Road, Northmead NSW 2152"
"3461","7-Eleven Greystanes","601-605 Great Western Highway, GREYSTANES NSW 2145"
"3467","Coles Express Fairfield","436-438 The Horsley Dve (Cnr Polding St), Fairfield NSW 2165"
"3470","7-Eleven St Helens Park","Corner Appin Road & Kellerman Drive St Helens Park, St Helens Park NSW 2560"
"3474","Coles Express Hurstville","396-404 Forest Road, Hurstville NSW 2220"
"3484","Speedway Rockdale","651 Princes Highway, Rockdale NSW 2216"
"3488","Shell Lismore","118 Wilson Street, Lismore NSW 2480"
"3491","Cringila Petroleum","95 Five Islands Road, Cringila NSW 2502"
"3497","Metro Petroleum Cooma","42 Sharp Street, Cooma NSW 2630"
"3501","Independent Kempsey","108-112 Smith Street, Kempsey NSW 2440"
"3505","South Petrol","48 Illawarra St, PORT KEMBLA NSW 2505"
"3507","BP New Lambton","105 St. James rd., New Lambton NSW 2302"
"3516","Caltex Woolworths Baulkham Hills 22464","117 Seven Hills Rd, BAULKHAM HILLS NSW 2153"
"3523","Shell Goonellabah","753 Ballina Road, GOONELLABAH NSW 2480"
"3526","BP Moama","49/51 Meninya St, Moama NSW 2731"
"3530","Independent SCONE","236 Kelly St, SCONE NSW 2337"
"3537","Caltex Bega","277 Newtown Road, Bega NSW 2550"
"3538","Caltex Chittaway","100 Chittaway Bay Road, Chittaway NSW 2259"
"3540","Caltex Cooma","41 Sharpe Street, Cooma NSW 2630"
"3545","Caltex Berrigan","160-162 Jerilderie Street, BERRIGAN NSW 2712"
"3549","Enhance Albion Park","253 Princes Hwy, Albion Park Rail NSW 2527"
"3555","Caltex Woolworths Ballina","44 Pacific Hwy (Cnr Kerr & Bangalow Sts), Ballina NSW 2478"
"3568","Caltex Marulan","10 George St, MARULAN NSW 2579"
"3573","BP Redfern","411-417 Cleveland St, REDFERN NSW 2016"
"3580","Shell Wollongbar","1185 Bruxner Hwy, WOLLONGBAR NSW 2477"
"3586","Caltex Lismore Airport","237 Union St, SOUTH LISMORE NSW 2480"
"3596","Metro Fuel Ruse","2 Acacia Av, Ruse NSW 2560"
"3597","BP Lismore","131 Dawson Street, Lismore NSW 2480"
"3601","BP Lismore","2 Leycester Street, Lismore NSW 2480"
"3605","7-Eleven Albion Park Rail","138-142 Princes Highway, ALBION PARK RAIL NSW 2527"
"3609","7-Eleven Albion Park Rail","47-57 Princess Highway, ALBION PARK RAIL NSW 2527"
"3610","BP Murwillumbah","216 Tweed Valley Way, Murwillumbah NSW 2484"
"3611","Caltex Woolworths Chester Hill","35 Woodville Road (cnr Alpha), Chester Hill NSW 2162"
"3615","7-Eleven Strathfield South","575-585 Liverpool Road, Strathfield South NSW 2136"
"3622","Mann River Caravan Park","4467 Gywdir Highway, JACKADGERY NSW AUSTRALIA 2460"
"3635","Corner Country Store","49 Briscoe St, TIBOOBURRA NSW 2880"
"3636","BP Uralla","103 Bridge Street, URALLA NSW 2358"
"3640","Independent Darlington Point","7 Sturt Highway, DARLINGTON POINT NSW 2706"
"3645","Nundle Fuel and cafe","92 Jenkins Street, NUNDLE NSW 2340"
"3650","BP Cabramatta West","208-212 Cabramatta Rd, Cabramatta West NSW 2166"
"3652","United Petroleum","6-8 Minjungbal Dr, TWEED HEADS SOUTH NSW 2486"
"3658","BP Baulkham Hills","134 Seven Hills Rd, Baulkham Hills NSW 2153"
"3666","Caltex Albion Park Rail","31 Princess Highway, ALBION PARK RAIL NSW 2527"
"3670","Caltex Albion Park Rail NB","172-174 Princes Hwy, ALBION PARK RAIL NSW 2527"
"3675","Metro Fuel Greta","28-30 High St, Greta NSW 2334"
"3677","BP Express Northwood","7-9 Northwood Road, Northwood NSW 2066"
"3688","Caltex old Guildford","636-644 Woodville Rd, OLD GUILDFORD NSW 2161"
"3694","Independent Kanahooka","90-94 Lakeside Dr, KANAHOOKA NSW 2530"
"3695","Campbells Fuel Service Moree","423 Frome St, Moree NSW 2400"
"3700","BP Bankstown","126 Chapel Rd South, Bankstown NSW 2200"
"3704","BP Greenfield Park","1 Greenfield Rd, Greenfield Park NSW 2176"
"3713","United Tweed Heads Mall","61-65 Wharf Street, TWEED HEADS NSW 2485"
"3714","TASCO Leeton Vance Rd","44-46 Vance Rd, LEETON NSW 2705"
"3724","Coles Express Coonabarabran","2-6 Johns St, Coonabarabran NSW 2357"
"3735","Mobil Jugiong","5 Riverside Drive, JUGIONG NSW 2726"
"3740","MT GEORGE PETROL STATION","1446 NOWENDOC RD, MOUNT GEORGE NSW 2424"
"3747","Caltex Woolworths Campbelltown","48-50 Blaxland Road, Campbelltown NSW 2560"
"3761","Caltex Woolworths Surry Hills","475 Cleveland St, Redfern NSW 2016"
"3765","Caltex Woolworths Campbelltown Mall","90-94 Queen Street (Cnr Broughton Street), Campbelltown NSW 2560"
"3769","Coles Express Tweed Heads South","71 Minjungbal Dr, Tweed Heads South NSW 2486"
"3777","Shell Condobolin","114-118 Bathurst St, Condobolin NSW 2877"
"3780","BP Warrawong","42-46 King St, WARRAWONG NSW 2502"
"3782","BP Rockdale","444 West Botany Street, ROCKDALE NSW 2216"
"3787","7-Eleven Campbelltown","96 Queen & Broughton Streets, Campbelltown NSW 2560"
"3791","7-Eleven Fairfield West","234 Hamilton Road, Fairfield West NSW 2165"
"3794","Caltex Woolworths Carnes Hill","Kurrajong Road (Carnes Hill Marketplace), Hoxton Park NSW 2171"
"3798","BP Merrylands West","65 Kenyons Road, Merrylands West NSW 2160"
"3802","MOBIL WYALONG","20-22 Neeld Street, WYALONG NSW 2671"
"3804","7-Eleven Campbelltown","71 Blaxland Road, Campbelltown NSW 2560"
"3812","Metro Doyalson","50 Pacific Hwy, DOYALSON NSW 2262"
"3815","BP Narellan","271 Camden Valley Way, NARELLAN NSW 2567"
"3820","Coles Express Faulconbridge","575-581 Great Western Highway, Faulconbridge NSW 2776"
"3822","Coles Express Annandale","124-126 Johnston Street, Annandale NSW 2038"
"3823","Coles Express Avalon Beach","2 Avalon Pde (Cnr Barrenjoey Rd), Avalon Beach NSW 2107"
"3826","Coles Express Brookvale","198 Harbord Rd (Cnr Winbourne Rd), Brookvale NSW 2100"
"3828","Coles Express Liverpool","338-340 Hume Highway, Liverpool NSW 2170"
"3830","Coles Express Heathcote","1355 Princess Hwy (Cnr Oliver Rd), Heathcote NSW 2233"
"3832","Coles Express North Ryde","275 Lane Cove Rd, North Ryde NSW 2113"
