"","ServiceStationName","Address"
"1079","Caltex StarMart Woolooware","100 Woolooware Road, WOOLOOWARE NSW 2230"
"1082","Caltex Macquarie Fields","68 Harold St, MACQUARIE FIELDS NSW 2564"
"1086","Coles Express Green Valley","Cowpasture Rd & Green Valley, Green Valley NSW 2168"
"1090","BP Blacktown","162 Sunnyholt Rd, Blacktown NSW 2148"
"1091","7-Eleven Caringbah","367 The Kingsway (Corner Willarong Road), Caringbah NSW 2229"
"1094","7-Eleven Gymea","110 Gymea Bay Rd (Cnr 337-339 President Avenue), Gymea NSW 2227"
"1097","7-Eleven Woolooware","192-198 The Kingsway, WOOLOOWARE NSW 2230"
"1100","Caltex Manly Vale","236 Condamine Street, MANLY VALE NSW 2093"
"1103","Caltex Yass","228 Comur Street, YASS NSW 2582"
"1104","Caltex Tuggerah","2 Johnson Road, Tuggerah NSW 2259"
"1106","Coles Express Berowra","955 Pacific Highway (Cnr Yallambee Rd), Berowra NSW 2081"
"1109","BP West Wyalong","68 Main St., West Wyalong NSW 2671"
"1117","Metro Fuel Canterbury","280 Canterbury Road, Canterbury NSW 2193"
"1119","Caltex Woolworths Cardiff","43 Macquarie Road, Cardiff NSW 2285"
"1123","BP Bolwarra Heights","200 Paterson Road, BOLWARRA HEIGHTS NSW 2320"
"1124","Coles Express Lawson","311 Great Western Highway, Lawson NSW 2783"
"1134","Caltex Woolworths Parkes","78 Currajong St (Cnr Bushman Street), Parkes NSW 2870"
"1142","Metro Petroleum Keiraville","270 Gipps Rd, KEIRAVILLE NSW 2500"
"1144","Caltex Woolworths Glen Innes","143 Meade Street, Glen Innes NSW 2370"
"1148","Caltex Woolworths Gloucester","115-115 Church Street, Gloucester NSW 2422"
"1152","Metro revesby west","10 Milperra Rd, REVESBY NSW 2212"
"1155","Coles Express Blacktown","132-136 Sunnyholt Road, Blacktown NSW 2148"
"1159","BP Matraville","585 Bunnerong Rd, MATRAVILLE NSW 2036"
"1162","Independent Macquarie Fields","2 Atchison Road, Macquarie Fields NSW 2564"
"1165","Independent Bundanoon","2 Erith St, Bundanoon NSW 2578"
"1167","Shell Cardiff","200 Main Road, Cardiff NSW 2285"
"1169","Casino Roadhouse","86 Johnston St, CASINO NSW 2470"
"1175","CALTEX STAR SHOP CARLINGFORD COURT","797 Pennant Hills Road, CARLINGFORD NSW 2118"
"1179","Shell Nevertire","Mitchell Highway, NEVERTIRE NSW 2831"
"1180","7-Eleven Green Valley","187 Wilson Road, Green Valley NSW 2168"
"1183","BP Belfield","53 Punchbowl Rd, Belfield NSW 2191"
"1187","Caltex Woolworths Gosford","522 Pacific Highway (Cnr Renwick Rd), Wyoming NSW 2250"
"1188","Caltex Kingsgrove","351-357 Stoney Creek, KINGSGROVE NSW 2208"
"1189","Coles Express Minto","73 Pembroke Rd (Cnr Durham St), Minto NSW 2566"
"1193","BILPIN PETROLEUM","2742 Bells Line of Road, BILPIN NSW 2758"
"1194","Caltex Woolworths Strathfield","287 Liverpool Road, Burwood NSW 2134"
